https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume IOTA,Volume USDT,tradecount
1699488000000,2023-11-09,IOTAUSDT,0.185,0.1887,0.158,0.1788,46403111.0,8270289.1719,47094
1699401600000,2023-11-08,IOTAUSDT,0.176,0.1887,0.1744,0.1851,36500213.0,6673391.1409,31119
1699315200000,2023-11-07,IOTAUSDT,0.1763,0.1801,0.1687,0.1761,24866687.0,4348168.3901,24266
1699228800000,2023-11-06,IOTAUSDT,0.1732,0.18,0.1693,0.1763,18400222.0,3222267.5829,18865
1699142400000,2023-11-05,IOTAUSDT,0.1697,0.177,0.1651,0.1733,26299420.0,4507479.3801,24038
1699056000000,2023-11-04,IOTAUSDT,0.165,0.17,0.1635,0.1697,11210435.0,1873156.8064,11561
1698969600000,2023-11-03,IOTAUSDT,0.163,0.1656,0.1574,0.1652,11608629.0,1871481.8567,11325
1698883200000,2023-11-02,IOTAUSDT,0.1625,0.1681,0.1577,0.1632,18067106.0,2951662.53,16803
1698796800000,2023-11-01,IOTAUSDT,0.1585,0.1636,0.1531,0.1625,16573070.0,2619194.6867,14247
1698710400000,2023-10-31,IOTAUSDT,0.1637,0.1658,0.1515,0.1585,20012277.0,3156072.9562,16883
1698624000000,2023-10-30,IOTAUSDT,0.1584,0.165,0.1566,0.1637,12550341.0,2016160.1717,11620
1698537600000,2023-10-29,IOTAUSDT,0.1555,0.1593,0.153,0.1582,8506100.0,1333741.6168,8239
1698451200000,2023-10-28,IOTAUSDT,0.1516,0.1562,0.1514,0.1557,10575483.0,1631705.1964,7929
1698364800000,2023-10-27,IOTAUSDT,0.1575,0.1576,0.1484,0.1516,14986798.0,2287542.4838,10589
1698278400000,2023-10-26,IOTAUSDT,0.1569,0.161,0.1512,0.1575,11606880.0,1821871.7782,12277
1698192000000,2023-10-25,IOTAUSDT,0.1539,0.1578,0.1508,0.157,11291439.0,1746257.9341,10603
1698105600000,2023-10-24,IOTAUSDT,0.156,0.1611,0.1475,0.1539,32499327.0,5039549.9757,26009
